"Time (ms)","Recording (a.u.)"
0.000000000E0,2.136230469E-4
2.083412250E-2,9.155273438E-5
4.166824501E-2,1.525878906E-4
6.250236751E-2,6.103515625E-5
8.333649002E-2,0.000000000E0
1.041706125E-1,6.103515625E-5
1.250047350E-1,6.103515625E-5
1.458388575E-1,1.525878906E-4
1.666729800E-1,-3.051757812E-5
1.875071025E-1,1.525878906E-4
2.083412250E-1,-3.051757812E-5
2.291753476E-1,-3.051757812E-5
2.500094701E-1,-6.103515625E-5
2.708435926E-1,-6.103515625E-5
2.916777151E-1,0.000000000E0
3.125118376E-1,-3.051757812E-5
3.333459601E-1,-3.051757812E-5
3.541800826E-1,-1.220703125E-4
3.750142051E-1,9.155273438E-5
3.958483276E-1,-9.155273438E-5
4.166824501E-1,0.000000000E0
4.375165726E-1,-1.525878906E-4
4.583506951E-1,-3.051757812E-5
4.791848176E-1,-1.220703125E-4
5.000189401E-1,-9.155273438E-5
5.208530626E-1,-9.155273438E-5
5.416871851E-1,-2.441406250E-4
5.625213076E-1,-6.103515625E-5
5.833554301E-1,-1.525878906E-4
6.041895526E-1,-1.831054688E-4
6.250236751E-1,-2.136230469E-4
6.458577976E-1,-1.220703125E-4
6.666919201E-1,-1.220703125E-4
6.875260427E-1,-2.441406250E-4
7.083601652E-1,-1.220703125E-4
7.291942877E-1,-3.051757812E-5
7.500284102E-1,-9.155273438E-5
7.708625327E-1,-6.103515625E-5
7.916966552E-1,-1.525878906E-4
8.125307777E-1,3.051757812E-5
8.333649002E-1,0.000000000E0
8.541990227E-1,0.000000000E0
8.750331452E-1,-1.220703125E-4
8.958672677E-1,3.051757812E-5
9.167013902E-1,-3.051757812E-5
9.375355127E-1,-9.155273438E-5
9.583696352E-1,-3.051757812E-5
9.792037577E-1,-9.155273438E-5
1.000037880E0,3.051757812E-5
1.020872003E0,-9.155273438E-5
1.041706125E0,3.051757812E-5
1.062540248E0,-1.831054688E-4
1.083374370E0,1.525878906E-4
1.104208493E0,-1.831054688E-4
1.125042615E0,2.136230469E-4
1.145876738E0,-1.220703125E-4
1.166710860E0,9.155273438E-5
1.187544983E0,1.525878906E-4
1.208379105E0,-1.831054688E-4
1.229213228E0,3.356933594E-4
1.250047350E0,3.051757812E-5
1.270881473E0,2.136230469E-4
1.291715595E0,1.220703125E-4
1.312549718E0,2.441406250E-4
1.333383840E0,1.831054688E-4
1.354217963E0,2.746582031E-4
1.375052085E0,2.441406250E-4
1.395886208E0,1.831054688E-4
1.416720330E0,3.051757812E-4
1.437554453E0,2.441406250E-4
1.458388575E0,2.746582031E-4
1.479222698E0,3.356933594E-4
1.500056820E0,1.831054688E-4
